4334
2471	3172	3
100	1713	29
3096	3833	17
2168	354	35
2015	2397	35
133	438	44
2598	3833	15
575	833	35
2585	2381	31
3897	1718	35
2310	492	35
3269	1400	35
4126	3833	17
99	1899	35
3789	2254	35
134	2072	3
689	3833	29
2351	1469	35
813	4000	35
1232	3167	3
3757	438	44
3798	1157	15
3757	3082	15
1910	3833	15
1240	3120	35
696	4396	31
1240	2335	35
2684	1663	41
1289	392	35
855	3246	35
399	200	3
3273	4337	41
1131	3635	41
4029	1127	35
956	3432	35
3752	2452	3
2658	438	44
378	2278	35
1577	1234	35
2671	792	35
224	4195	35
4355	3833	15
1619	107	33
1225	142	35
4430	438	44
1411	3517	35
1708	671	29
1663	2581	2
2955	3153	13
207	4386	35
1705	1428	3
281	2537	8
4221	438	44
2478	3833	15
3116	2566	15
3905	2585	2
1298	3037	35
410	3604	35
2587	3136	35
2912	3557	35
4413	3779	32
2607	2299	35
1232	2280	3
1289	1992	35
2351	3833	15
1382	2711	35
1411	4359	3
3230	241	2
855	1431	35
2800	2878	3
2310	519	3
2163	4312	13
1279	2482	3
1205	3833	17
568	3833	15
486	4438	41
3096	3763	3
1474	4381	35
15	1298	2
99	4075	35
4056	3747	3
401	3833	15
853	2566	15
3255	3108	3
1255	2775	35
2800	1361	3
818	3945	16
2961	3888	3
2872	2885	3
3144	1820	31
1952	3823	3
1925	3455	35
813	769	35
48	738	35
2912	3348	35
2646	3014	16
1411	1339	35
740	2485	43
677	3170	13
507	1745	35
3494	3429	35
3201	3370	35
3587	420	35
2699	438	44
1474	718	35
4198	3442	35
4437	590	35
2529	2449	35
3389	3700	35
160	3736	15
3629	3426	35
802	161	35
2286	3588	3
3505	2860	35
1526	4337	41
3732	4258	3
4019	658	35
3724	4110	3
378	3336	35
1633	2021	3
1187	3972	35
35	3126	3
3300	4151	35
2310	64	15
3184	3654	35
2008	4038	35
82	3778	13
855	2371	35
4246	3572	35
63	2345	35
4369	3833	0
134	779	3
3417	3502	43
1628	2678	35
3805	1270	35
1755	3018	35
3137	1724	35
2460	4028	3
2052	1929	35
3273	950	43
3322	3044	15
2471	1017	3
1187	171	13
4427	95	3
2867	3995	16
399	1220	3
609	3004	35
1240	518	35
2598	2816	31
3982	4324	35
1898	1991	35
3644	438	44
407	1723	35
3757	962	31
703	281	41
3273	1450	41
946	946	33
3644	741	35
3537	434	35
35	2990	3
3875	2652	35
616	3016	3
2012	1874	34
2493	754	35
3587	3268	35
616	2387	29
1232	1399	3
595	4396	31
3781	1351	35
3752	600	3
3309	3833	17
3273	3273	33
1868	17	35
1547	1996	35
4369	3833	23
1730	2814	21
2101	3014	16
439	2497	35
4179	3245	41
1240	477	35
160	3014	16
3000	4385	29
1034	1521	35
2140	1000	3
3508	1658	35
1094	437	35
3732	469	3
4427	1316	3
35	2642	3
3333	1291	3
1965	3584	3
2329	438	44
404	438	44
3623	727	35
1990	3014	16
3365	225	29
3322	3014	16
99	1358	35
2516	3373	33
2561	2357	35
3369	1913	35
2657	4215	31
1698	2881	35
1354	268	29
2800	3085	13
2448	3624	35
616	3160	3
2382	3024	35
3189	438	44
4318	3673	35
134	1503	3
1354	4297	35
3150	2233	35
3497	535	43
1780	4155	4
2955	3153	29
160	1564	23
4147	1457	23
1423	139	3
4050	1355	35
872	1706	35
3834	1919	35
1232	3436	35
2460	3833	17
3959	3853	3
2638	1507	34
4303	3576	35
3384	175	3
677	18	35
1423	3403	3
2478	3655	35
1828	419	35
2946	3833	17
1708	3567	3
789	3288	35
3398	880	3
1232	1613	35
3967	3443	35
1240	374	35
3189	871	3
1789	342	35
26	697	29
4071	988	35
813	3833	17
1708	4238	3
905	589	15
1232	113	35
3096	438	44
486	3269	2
8	2269	41
3389	700	35
2646	3483	35
3635	3645	2
4246	1494	3
119	2451	35
4413	3046	41
359	1937	3
3798	438	44
119	1533	35
1240	2851	35
3384	1933	3
3644	4216	35
119	3562	35
4303	2789	35
1232	3650	35
3398	1454	3
2369	2982	2
855	1295	35
378	438	44
3581	3467	41
2940	2635	13
359	730	3
1078	1593	6
12	4182	35
2478	3378	3
359	1859	3
1965	3346	3
2213	2440	3
1240	2309	35
1419	2169	3
1914	2231	35
789	2450	3
2306	1175	35
4255	3148	35
2163	3640	3
1094	3819	35
1279	1717	3
